中药中文名,中药拼音,中药拉丁名,中药分类（中文）,中药小分子,TCMSP MOL_ID,molecule_ID,小分子全量排名,小分子严格排名,TCMSP靶点Gene Symbol,TCMSP靶点名称,target_ID,DrugBank内部ID,SVM_score,RF_score,边平均分,TCMSP靶点UniProt标准Gene Symbol,TCMSP靶点UniProt编号
土茯苓,Tufuling,Smilacis Glabrae Rhixoma,清热解毒药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
地肤子,Difuzi,Kochiae Fructus,利水渗湿药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
墓头回,Mutouhui,Et Radix Patriniae Rhizoma,清热解毒药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
夏枯草,Xiakucao,Prunellae Spica,清热泻火药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
天仙子,Tianxianzi,Hyoscyami Semen,止咳平喘药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
威灵仙,Weilingxian,Radix Clematidis,祛风湿散寒药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
小茴香,Xiaohuixiang,Foeniculi Fructus,温里药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
山茱萸,Shanzhuyu,Cornus Officinalis Sieb. Et Zucc.,收涩药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
川射干,Chuanshegan,Iridis Tectori Rhizoma,清热解毒药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
川槿皮,Chuanjinpi,Cortex Hibisci,清热解毒药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
巴戟天,Bajitian,Morindae Officinalis Radix,补阳药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
巴豆,Badou,Crotonis Fructus,攻下药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
广枣,Guangzao,Choerospondiatis Fructus,活血祛瘀药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
徐长卿,Xuchangqing,Radix Cynanchi Paniculati,祛风湿散寒药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
昆布,Kunbu,Thalluslaminariae,化痰药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
月季花,Yuejihua,Mori Cortex,活血祛瘀药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
木棉花,Mumianhua,Gossampiniflos,拔毒化腐生肌药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
木蝴蝶,Muhudie,Oroxyli Semen,清热解毒药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
木香,Muxiang,Aucklandiae Radix,理气药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
杜仲,Duzhong,Eucommiae Cortex,补阳药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
枇杷叶,Pipaye,Eriobotryae Folium,止咳平喘药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
枸杞子,Gouqizi,Lycii Fructus,补阴药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
柏子仁,Baiziren,Platycladi Semen,安神药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
