中药中文名,中药拼音,中药拉丁名,中药分类（中文）,中药小分子,TCMSP MOL_ID,molecule_ID,小分子全量排名,小分子严格排名
猫眼草,Maoyancao,Lunulatae Herba,化痰药,"5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyl-tetrahydropyran-2-yl]oxy-chromone",MOL010168,10168,3177,
猫眼草,Maoyancao,Lunulatae Herba,化痰药,maoyancaosu,MOL010169,10169,2393,
猫眼草,Maoyancao,Lunulatae Herba,化痰药,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2R,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyl-tetrahydropyran-2-yl]oxy-chromone",MOL010172,10172,3752,
平贝母,Pingbeimu,Fritillariaeussuriensis Bulbus,化痰药,Pinguisone,MOL010189,10189,1019,
胖大海,Pangdahai,Sterculiae Lychnophorae Semen,化痰药,(2S)-2-methylenanthic acid,MOL010198,10198,3731,
胖大海,Pangdahai,Sterculiae Lychnophorae Semen,化痰药,2-methyl-hexanoic acid,MOL010199,10199,4082,
胖大海,Pangdahai,Sterculiae Lychnophorae Semen,化痰药,Flexricin P-1,MOL010205,10205,4043,1174
沙棘,Shaji,Hippophae Fructus,化痰药,"(2S,4S)-2,4-dimethyl-1,3-dioxane",MOL010214,10214,2845,
沙棘,Shaji,Hippophae Fructus,化痰药,Dmbc formate,MOL010223,10223,1003,
沙棘,Shaji,Hippophae Fructus,化痰药,Butyl isovalerate,MOL010226,10226,4063,
沙棘,Shaji,Hippophae Fructus,化痰药,"(2R,4R)-2-phenylchroman-4-ol",MOL010242,10242,1171,
沙棘,Shaji,Hippophae Fructus,化痰药,"flavane-3,4-diol",MOL010243,10243,2155,
沙棘,Shaji,Hippophae Fructus,化痰药,(2S)-Flavanone,MOL010244,10244,1182,
防风,Fangfeng,Saposhnikoviae Radix,辛温解表药,(2S)-Flavanone,MOL010244,10244,1182,
功劳木,Gonglaomu,Mahoniae Caulis,清热解毒药,flavone,MOL010245,10245,92,
十大功劳叶,Shidagonglaoye,Mahoniae Folum,清热解毒药,flavone,MOL010245,10245,92,
十大功劳根,Shidagonglaogen,Mahoniae Eadix,清热解毒药,flavone,MOL010245,10245,92,
沙棘,Shaji,Hippophae Fructus,化痰药,flavone,MOL010245,10245,92,
白果,Baiguo,Ginkgo Semen,止咳平喘药,flavone,MOL010245,10245,92,
皂角刺,Zaojiaoci,Gleditsiae Spina,化痰药,flavone,MOL010245,10245,92,
鹅不食草,Ebushicao,Centipedae Herba,辛温解表药,flavone,MOL010245,10245,92,
沙棘,Shaji,Hippophae Fructus,化痰药,Flavonol,MOL010246,10246,872,
沙棘,Shaji,Hippophae Fructus,化痰药,glucofrangulin,MOL010249,10249,2646,
桂枝,Guizhi,Cinnamomi Ramulus,辛温解表药,Isoamyl benzoate,MOL010257,10257,1814,
桑叶,Sangye,Mori Follum,辛凉解表药,Isoamyl benzoate,MOL010257,10257,1814,
沙棘,Shaji,Hippophae Fructus,化痰药,Isoamyl benzoate,MOL010257,10257,1814,
桂枝,Guizhi,Cinnamomi Ramulus,辛温解表药,Apple oil,MOL010259,10259,1923,
沙棘,Shaji,Hippophae Fructus,化痰药,Apple oil,MOL010259,10259,1923,
满山红,Manshanhong,Rhododendri Daurici Folium,止咳平喘药,Apple oil,MOL010259,10259,1923,
羌活,Qianghuo,Notopterygii Rhizoma Et Radix,辛温解表药,Apple oil,MOL010259,10259,1923,
菊花,Juhua,Chrysanthemi Flos,辛凉解表药,Apple oil,MOL010259,10259,1923,
