中药中文名,中药拼音,中药拉丁名,中药分类（中文）,中药小分子,TCMSP MOL_ID,molecule_ID,小分子全量排名,小分子严格排名,TCMSP靶点Gene Symbol,TCMSP靶点名称,target_ID,DrugBank内部ID,SVM_score,RF_score,边平均分,TCMSP靶点UniProt标准Gene Symbol,TCMSP靶点UniProt编号
八角茴香,Bajiaohuixiang,Anisi Stellati Fructus,温里药,C09628,MOL010044,10044,928,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.8612,0.732,0.7966,PTGS2,P35354
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,C09628,MOL010044,10044,928,,CHRM1,Muscarinic acetylcholine receptor M1,38,103,0.908163,0.726,0.8170815,CHRM1,P11229
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,C09628,MOL010044,10044,928,,CHRM2,Muscarinic acetylcholine receptor M2,210,617,0.921927,0.716,0.8189635,CHRM2,P08172
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,C09628,MOL010044,10044,928,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.8612,0.732,0.7966,PTGS2,P35354
生姜,Shengjiang,Zingiber Officinale Roscoe,辛温解表药,C09628,MOL010044,10044,928,,CHRM1,Muscarinic acetylcholine receptor M1,38,103,0.908163,0.726,0.8170815,CHRM1,P11229
生姜,Shengjiang,Zingiber Officinale Roscoe,辛温解表药,C09628,MOL010044,10044,928,,CHRM2,Muscarinic acetylcholine receptor M2,210,617,0.921927,0.716,0.8189635,CHRM2,P08172
生姜,Shengjiang,Zingiber Officinale Roscoe,辛温解表药,C09628,MOL010044,10044,928,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.8612,0.732,0.7966,PTGS2,P35354
菊花,Juhua,Chrysanthemi Flos,辛凉解表药,C09628,MOL010044,10044,928,,CHRM1,Muscarinic acetylcholine receptor M1,38,103,0.908163,0.726,0.8170815,CHRM1,P11229
菊花,Juhua,Chrysanthemi Flos,辛凉解表药,C09628,MOL010044,10044,928,,CHRM2,Muscarinic acetylcholine receptor M2,210,617,0.921927,0.716,0.8189635,CHRM2,P08172
菊花,Juhua,Chrysanthemi Flos,辛凉解表药,C09628,MOL010044,10044,928,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.8612,0.732,0.7966,PTGS2,P35354
辛夷,Xinyi,Magnoliae Flos,辛温解表药,C09628,MOL010044,10044,928,,CHRM1,Muscarinic acetylcholine receptor M1,38,103,0.908163,0.726,0.8170815,CHRM1,P11229
辛夷,Xinyi,Magnoliae Flos,辛温解表药,C09628,MOL010044,10044,928,,CHRM2,Muscarinic acetylcholine receptor M2,210,617,0.921927,0.716,0.8189635,CHRM2,P08172
辛夷,Xinyi,Magnoliae Flos,辛温解表药,C09628,MOL010044,10044,928,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.8612,0.732,0.7966,PTGS2,P35354
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,farfugin A,MOL010051,10051,856,,CHRM1,Muscarinic acetylcholine receptor M1,38,103,0.934269,0.732,0.8331345,CHRM1,P11229
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,farfugin A,MOL010051,10051,856,,CHRM2,Muscarinic acetylcholine receptor M2,210,617,0.903464,0.712,0.807732,CHRM2,P08172
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,farfugin A,MOL010051,10051,856,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.80999,0.81,0.809995,PTGS2,P35354
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,gamma-elemene,MOL010052,10052,2833,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.944158,0.728,0.836079,PTGS2,P35354
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,kaempferol-3-arabinoside,MOL010054,10054,3256,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.907553,0.726,0.8167765,PTGS2,P35354
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,Femara,MOL010055,10055,2658,863,PTGS2,Prostaglandin G/H synthase 2,94,290,0.890425,0.798,0.8442125,PTGS2,P35354
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,methyl 3-o-caffeoylquinate,MOL010058,10058,3067,979,PTGS2,Prostaglandin G/H synthase 2,94,290,0.876603,0.776,0.8263015,PTGS2,P35354
罗汉果,Luohanguo,Momordicae Fructus,化痰药,BUTYL ISOBUTYL PHTHALATE,MOL010080,10080,1859,,CHRM1,Muscarinic acetylcholine receptor M1,38,103,0.836576,0.732,0.784288,CHRM1,P11229
罗汉果,Luohanguo,Momordicae Fructus,化痰药,BUTYL ISOBUTYL PHTHALATE,MOL010080,10080,1859,,CHRM2,Muscarinic acetylcholine receptor M2,210,617,0.870632,0.706,0.788316,CHRM2,P08172
