原始行号（去重映射）,molecule_ID,SMILES,STP查询编号,预测状态,去重预测靶点数,Swiss Top1靶点名称,Swiss Top1 Gene Symbol,Swiss Top1概率,STP Job ID,Swiss查询网站,备注,TCMSP MOL_ID,中药小分子,小分子全量排名,小分子严格排名,molecule_ID连接状态
2080,10161,COc1c(O)cc2ccc3c(OC)c(O)ccc3c2c1OC,STP02075,成功（100条，已去重）,100,DNA repair nuclease/redox regulator APEX1,APEX1,0.9954362475569616,2061861113,https://www.swisstargetprediction.ch/result.php?job=2061861113&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010161,"1,5,6-trimethoxyphenanthrene-2,7-diol",2079,625,molecule_ID精确匹配
3178,10168,C[C@@H]1O[C@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,STP03173,成功（100条，已去重）,100,Ribosyldihydronicotinamide dehydrogenase [quinone],NQO2,0.9982337443035274,12507272,https://www.swisstargetprediction.ch/result.php?job=12507272&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010168,"5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyl-tetrahydropyran-2-yl]oxy-chromone",3177,,molecule_ID精确匹配
2394,10169,O=c1ccc2cc3c(cc2o1)OC[C@@H]([C@H](O)c1ccc(O)c(O)c1)O3,STP02389,成功（100条，已去重）,100,"3',5'-cyclic-AMP phosphodiesterase 4D",PDE4D,0.1270439708281356,39501925,https://www.swisstargetprediction.ch/result.php?job=39501925&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010169,maoyancaosu,2393,,molecule_ID精确匹配
3753,10172,C[C@@H]1O[C@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@@H](O)[C@H](O)[C@@H]1O,STP03747,成功（100条，已去重）,100,Carbonic anhydrase 7,CA7,0.998398557661162,1674302244,https://www.swisstargetprediction.ch/result.php?job=1674302244&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010172,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2R,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyl-tetrahydropyran-2-yl]oxy-chromone",3752,,molecule_ID精确匹配
1020,10189,C[C@@H]1CC(=O)[C@@]2(C)[C@H](C)c3ccoc3C[C@@]12C,STP01019,成功（100条，已去重）,100,D(2) dopamine receptor,DRD2,0.4313903417194203,520239077,https://www.swisstargetprediction.ch/result.php?job=520239077&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010189,Pinguisone,1019,,molecule_ID精确匹配
3732,10198,CCCCC[C@H](C)C(=O)O,STP03726,成功（100条，已去重）,100,G-protein coupled receptor 84,GPR84,0.8536480131801744,61570182,https://www.swisstargetprediction.ch/result.php?job=61570182&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010198,(2S)-2-methylenanthic acid,3731,,molecule_ID精确匹配
4083,10199,CCCC[C@@H](C)C(=O)O,STP04076,成功（100条，已去重）,100,"Fatty acid-binding protein, adipocyte",FABP4,0.7506313053602156,1883156049,https://www.swisstargetprediction.ch/result.php?job=1883156049&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010199,2-methyl-hexanoic acid,4082,,molecule_ID精确匹配
4044,10205,CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)OC,STP04037,成功（100条，已去重）,100,Oxysterols receptor LXR-alpha,NR1H3,0.944257098562186,412435074,https://www.swisstargetprediction.ch/result.php?job=412435074&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010205,Flexricin P-1,4043,1174,molecule_ID精确匹配
2846,10214,C[C@H]1OCC[C@H](C)O1,STP02841,成功（100条，已去重）,100,Cocaine esterase,CES2,0.212725960784764,15759274,https://www.swisstargetprediction.ch/result.php?job=15759274&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010214,"(2S,4S)-2,4-dimethyl-1,3-dioxane",2845,,molecule_ID精确匹配
1004,10223,CC(C)(Cc1ccccc1)OC=O,STP01003,成功（100条，已去重）,100,Prostaglandin G/H synthase 2,PTGS2,0.5922077375924288,209832378,https://www.swisstargetprediction.ch/result.php?job=209832378&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010223,Dmbc formate,1003,,molecule_ID精确匹配
