原始行号（去重映射）,molecule_ID,SMILES,STP查询编号,预测状态,去重预测靶点数,中药数,TCMSP_MOL_ID数,分子名称数,molecule_ID连接状态,SMILES审计
2846,10214,C[C@H]1OCC[C@H](C)O1,STP02841,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
1004,10223,CC(C)(Cc1ccccc1)OC=O,STP01003,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
4064,10226,CCCCOC(=O)CC(C)C,STP04057,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
1172,10242,O[C@@H]1C[C@H](c2ccccc2)Oc2ccccc21,STP01171,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
2156,10243,O[C@H]1[C@@H](c2ccccc2)Oc2ccccc2[C@@H]1O,STP02151,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
1183,10244,O=C1C[C@@H](c2ccccc2)Oc2ccccc21,STP01181,成功（100条，已去重）,100,2.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
93,10245,O=c1cc(-c2ccccc2)oc2ccccc12,STP00092,成功（100条，已去重）,100,7.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
873,10246,O=c1c(O)c(-c2ccccc2)oc2ccccc12,STP00872,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
2647,10249,C[C@H](CO)OC(=O)c1ccccc1,STP02642,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
1815,10257,CC(C)CCOC(=O)c1ccccc1,STP01810,成功（100条，已去重）,100,3.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
1924,10259,CC(C)CCOC(=O)CC(C)C,STP01919,成功（100条，已去重）,100,8.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
2006,1026,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC[C@@H]1[C@@]2(C)CC[C@H](O)C(C)(C)[C@H]2CC[C@@]1(C)O,STP02001,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
763,10265,C=C[C@@]1(C)CC[C@@H](O)C(C)(C)O1,STP00762,成功（100条，已去重）,100,2.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
416,10266,C=C[C@]1(C)CC[C@H](C(C)(C)O)O1,STP00415,成功（100条，已去重）,100,7.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
